environment,arm,activation,cell,seed,metric,window,calibration_first_task,calibration_last_task,heldout_first_task,heldout_last_task,late_first_task,late_last_task,first_source,last_source,reference_input_source,first_late_input_source,last_late_input_source
conda,LR_k1_X0Y1,LR,X0Y1,201,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,201,reference,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,201,reference,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed201/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,202,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,202,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,202,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,202,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,202,reference,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,202,reference,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed202/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,203,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,203,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,203,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,203,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,203,reference,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,203,reference,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed203/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,204,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,204,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,204,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,204,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t400.npz
conda,LR_k1_X0Y1,LR,X0Y1,204,reference,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t100.npz
conda,LR_k1_X0Y1,LR,X0Y1,204,reference,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X0Y1/seed204/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,200,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t100.npz
conda,LR_k1_X1Y0,LR,X1Y0,200,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,200,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t100.npz
conda,LR_k1_X1Y0,LR,X1Y0,200,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,200,reference,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t100.npz
conda,LR_k1_X1Y0,LR,X1Y0,200,reference,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed200/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,201,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t100.npz
conda,LR_k1_X1Y0,LR,X1Y0,201,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,201,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t100.npz
conda,LR_k1_X1Y0,LR,X1Y0,201,raw,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,201,reference,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t100.npz
conda,LR_k1_X1Y0,LR,X1Y0,201,reference,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed201/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,202,actual,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t100.npz
conda,LR_k1_X1Y0,LR,X1Y0,202,actual,primary400,6,200,201,400,321,400,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t400.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t321.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t400.npz
conda,LR_k1_X1Y0,LR,X1Y0,202,raw,secondary100,6,50,51,100,81,100,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t100.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t000.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t081.npz,/home/issan/Projects/obsidian-research-data/effdisp_inputscope_0924/raw/conda/LR_k1_X1Y0/seed202/t100.npz
